constantId,packageIn,methodIn,methodRefClass,methodRef,codeUnit,varName,varClass,varRefClass
0,com.rubenroy.minimaltodo.MainActivity,onCreate,com.rubenroy.minimaltodo.MainActivity,getSharedPreferences,$r4 = virtualinvoke $r0.<com.rubenroy.minimaltodo.MainActivity: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>("com.avjindersekhon.themepref", 0),,,
2130968603,com.rubenroy.minimaltodo.MainActivity,onCreate,com.rubenroy.minimaltodo.MainActivity,setContentView,virtualinvoke $r0.<com.rubenroy.minimaltodo.MainActivity: void setContentView(int)>(2130968603),,,
0,com.rubenroy.minimaltodo.MainActivity,onCreate,com.rubenroy.minimaltodo.MainActivity,getSharedPreferences,$r4 = virtualinvoke $r0.<com.rubenroy.minimaltodo.MainActivity: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>("com.avjindersekhon.datasetchanged", 0),,,
0,com.rubenroy.minimaltodo.MainActivity,onCreate,android.content.SharedPreferences$Editor,putBoolean,interfaceinvoke $r6.<android.content.SharedPreferences$Editor: android.content.SharedPreferences$Editor putBoolean(java.lang.String,boolean)>("com.avjinder.changeoccured", 0),,,
2131624061,com.rubenroy.minimaltodo.MainActivity,onCreate,com.rubenroy.minimaltodo.MainActivity,findViewById,$r10 = virtualinvoke $r0.<com.rubenroy.minimaltodo.MainActivity: android.view.View findViewById(int)>(2131624061),,,
2131624057,com.rubenroy.minimaltodo.MainActivity,onCreate,com.rubenroy.minimaltodo.MainActivity,findViewById,$r10 = virtualinvoke $r0.<com.rubenroy.minimaltodo.MainActivity: android.view.View findViewById(int)>(2131624057),m,android.support.design.widget.CoordinatorLayout,com.rubenroy.minimaltodo.MainActivity
2131624060,com.rubenroy.minimaltodo.MainActivity,onCreate,com.rubenroy.minimaltodo.MainActivity,findViewById,$r10 = virtualinvoke $r0.<com.rubenroy.minimaltodo.MainActivity: android.view.View findViewById(int)>(2131624060),k,android.support.design.widget.FloatingActionButton,com.rubenroy.minimaltodo.MainActivity
2131624059,com.rubenroy.minimaltodo.MainActivity,onCreate,com.rubenroy.minimaltodo.MainActivity,findViewById,$r10 = virtualinvoke $r0.<com.rubenroy.minimaltodo.MainActivity: android.view.View findViewById(int)>(2131624059),j,com.rubenroy.minimaltodo.RecyclerViewEmptySupport,com.rubenroy.minimaltodo.MainActivity
2131558502,com.rubenroy.minimaltodo.MainActivity,onCreate,android.content.res.Resources,getColor,$i0 = virtualinvoke $r16.<android.content.res.Resources: int getColor(int)>(2131558502),,,
2131624058,com.rubenroy.minimaltodo.MainActivity,onCreate,com.rubenroy.minimaltodo.MainActivity,findViewById,$r10 = virtualinvoke $r0.<com.rubenroy.minimaltodo.MainActivity: android.view.View findViewById(int)>(2131624058),,,
1,com.rubenroy.minimaltodo.MainActivity,onCreate,com.rubenroy.minimaltodo.RecyclerViewEmptySupport,setHasFixedSize,virtualinvoke $r15.<com.rubenroy.minimaltodo.RecyclerViewEmptySupport: void setHasFixedSize(boolean)>(1),,,
0,com.rubenroy.minimaltodo.MainActivity,onStart,com.rubenroy.minimaltodo.MainActivity,getSharedPreferences,$r3 = virtualinvoke $r0.<com.rubenroy.minimaltodo.MainActivity: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>("com.avjindersekhon.datasetchanged", 0),,,
0,com.rubenroy.minimaltodo.MainActivity,onStart,android.content.SharedPreferences$Editor,putBoolean,interfaceinvoke $r8.<android.content.SharedPreferences$Editor: android.content.SharedPreferences$Editor putBoolean(java.lang.String,boolean)>("com.avjinder.changeoccured", 0),,,
0,com.rubenroy.minimaltodo.m,onClick,com.rubenroy.minimaltodo.x,<init>,specialinvoke $r5.<com.rubenroy.minimaltodo.x: void <init>(java.lang.String,boolean,java.util.Date)>("", 0, null),,,
100,com.rubenroy.minimaltodo.m,onClick,com.rubenroy.minimaltodo.MainActivity,startActivityForResult,virtualinvoke $r2.<com.rubenroy.minimaltodo.MainActivity: void startActivityForResult(android.content.Intent,int)>($r4, 100),,,
1,android.support.v7.widget.bj,<init>,android.support.v7.widget.bj,<init>,specialinvoke $r0.<android.support.v7.widget.bj: void <init>(android.content.Context,int,boolean)>($r1, 1, 0),,,
0,android.support.v7.widget.bj,<init>,android.support.v7.widget.bj,<init>,specialinvoke $r0.<android.support.v7.widget.bj: void <init>(android.content.Context,int,boolean)>($r1, 1, 0),,,
1,android.support.v4.b.r,onStart,android.os.Handler,removeMessages,virtualinvoke $r1.<android.os.Handler: void removeMessages(int)>(1),,,
0,com.rubenroy.minimaltodo.SettingsActivity,onCreate,com.rubenroy.minimaltodo.SettingsActivity,getSharedPreferences,$r4 = virtualinvoke $r0.<com.rubenroy.minimaltodo.SettingsActivity: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>("com.avjindersekhon.themepref", 0),,,
2131427512,com.rubenroy.minimaltodo.SettingsActivity,onCreate,com.rubenroy.minimaltodo.SettingsActivity,setTheme,virtualinvoke $r0.<com.rubenroy.minimaltodo.SettingsActivity: void setTheme(int)>(2131427512),,,
2130968604,com.rubenroy.minimaltodo.SettingsActivity,onCreate,com.rubenroy.minimaltodo.SettingsActivity,setContentView,virtualinvoke $r0.<com.rubenroy.minimaltodo.SettingsActivity: void setContentView(int)>(2130968604),,,
2131624061,com.rubenroy.minimaltodo.SettingsActivity,onCreate,com.rubenroy.minimaltodo.SettingsActivity,findViewById,$r6 = virtualinvoke $r0.<com.rubenroy.minimaltodo.SettingsActivity: android.view.View findViewById(int)>(2131624061),,,
2130837526,com.rubenroy.minimaltodo.SettingsActivity,onCreate,android.content.res.Resources,getDrawable,$r9 = virtualinvoke $r8.<android.content.res.Resources: android.graphics.drawable.Drawable getDrawable(int)>(2130837526),,,
-1,com.rubenroy.minimaltodo.SettingsActivity,onCreate,android.graphics.drawable.Drawable,setColorFilter,virtualinvoke $r9.<android.graphics.drawable.Drawable: void setColorFilter(int,android.graphics.PorterDuff$Mode)>(-1, $r10),,,
1,com.rubenroy.minimaltodo.SettingsActivity,onCreate,android.support.v7.a.a,a,virtualinvoke $r11.<android.support.v7.a.a: void a(boolean)>(1),,,
