constantId,packageIn,methodIn,methodRefClass,methodRef,codeUnit,varName,varClass,varRefClass
0,android.support.v7.app.AppCompatActivity,onCreate,android.support.v7.app.AppCompatActivity,onApplyThemeResource,virtualinvoke $r0.<android.support.v7.app.AppCompatActivity: void onApplyThemeResource(android.content.res.Resources$Theme,int,boolean)>($r3, $i0, 0),,,
2131427357,org.secuso.privacyfriendlytodolist.view.MainActivity,onCreate,org.secuso.privacyfriendlytodolist.view.MainActivity,setContentView,virtualinvoke $r0.<org.secuso.privacyfriendlytodolist.view.MainActivity: void setContentView(int)>(2131427357),,,
2131296465,org.secuso.privacyfriendlytodolist.view.MainActivity,onCreate,org.secuso.privacyfriendlytodolist.view.MainActivity,findViewById,$r4 = virtualinvoke $r0.<org.secuso.privacyfriendlytodolist.view.MainActivity: android.view.View findViewById(int)>(2131296465),rl,android.widget.RelativeLayout,org.secuso.privacyfriendlytodolist.view.MainActivity
2131296375,org.secuso.privacyfriendlytodolist.view.MainActivity,onCreate,org.secuso.privacyfriendlytodolist.view.MainActivity,findViewById,$r4 = virtualinvoke $r0.<org.secuso.privacyfriendlytodolist.view.MainActivity: android.view.View findViewById(int)>(2131296375),exLv,android.widget.ExpandableListView,org.secuso.privacyfriendlytodolist.view.MainActivity
2131296555,org.secuso.privacyfriendlytodolist.view.MainActivity,onCreate,org.secuso.privacyfriendlytodolist.view.MainActivity,findViewById,$r4 = virtualinvoke $r0.<org.secuso.privacyfriendlytodolist.view.MainActivity: android.view.View findViewById(int)>(2131296555),tv,android.widget.TextView,org.secuso.privacyfriendlytodolist.view.MainActivity
2131296380,org.secuso.privacyfriendlytodolist.view.MainActivity,onCreate,org.secuso.privacyfriendlytodolist.view.MainActivity,findViewById,$r4 = virtualinvoke $r0.<org.secuso.privacyfriendlytodolist.view.MainActivity: android.view.View findViewById(int)>(2131296380),optionFab,android.support.design.widget.FloatingActionButton,org.secuso.privacyfriendlytodolist.view.MainActivity
2131296402,org.secuso.privacyfriendlytodolist.view.MainActivity,onCreate,org.secuso.privacyfriendlytodolist.view.MainActivity,findViewById,$r4 = virtualinvoke $r0.<org.secuso.privacyfriendlytodolist.view.MainActivity: android.view.View findViewById(int)>(2131296402),initialAlert,android.widget.TextView,org.secuso.privacyfriendlytodolist.view.MainActivity
2131296494,org.secuso.privacyfriendlytodolist.view.MainActivity,onCreate,org.secuso.privacyfriendlytodolist.view.MainActivity,findViewById,$r4 = virtualinvoke $r0.<org.secuso.privacyfriendlytodolist.view.MainActivity: android.view.View findViewById(int)>(2131296494),secondAlert,android.widget.TextView,org.secuso.privacyfriendlytodolist.view.MainActivity
2131820545,org.secuso.privacyfriendlytodolist.view.MainActivity,onCreate,android.preference.PreferenceManager,setDefaultValues,staticinvoke <android.preference.PreferenceManager: void setDefaultValues(android.content.Context,int,boolean)>($r0, 2131820545, 0),,,
0,org.secuso.privacyfriendlytodolist.view.MainActivity,onCreate,android.preference.PreferenceManager,setDefaultValues,staticinvoke <android.preference.PreferenceManager: void setDefaultValues(android.content.Context,int,boolean)>($r0, 2131820545, 0),,,
1,org.secuso.privacyfriendlytodolist.view.MainActivity,onStart,android.view.MenuItem,setChecked,interfaceinvoke $r3.<android.view.MenuItem: android.view.MenuItem setChecked(boolean)>(1),,,
2131624123,org.secuso.privacyfriendlytodolist.view.MainActivity,onContextItemSelected,android.support.design.widget.Snackbar,setAction,virtualinvoke $r6.<android.support.design.widget.Snackbar: android.support.design.widget.Snackbar setAction(int,android.view.View$OnClickListener)>(2131624123, $r15),,,
2131624126,org.secuso.privacyfriendlytodolist.view.MainActivity,onContextItemSelected,org.secuso.privacyfriendlytodolist.view.MainActivity,getString,$r14 = virtualinvoke $r0.<org.secuso.privacyfriendlytodolist.view.MainActivity: java.lang.String getString(int)>(2131624126),,,
1,org.secuso.privacyfriendlytodolist.view.MainActivity,onContextItemSelected,org.secuso.privacyfriendlytodolist.view.dialog.ProcessTodoTaskDialog,setListSelector,virtualinvoke $r18.<org.secuso.privacyfriendlytodolist.view.dialog.ProcessTodoTaskDialog: void setListSelector(int,boolean)>($i0, 1),,,
